Team,HomeXGF,AwayXGF,HomeXGA,AwayXGA,HomePlayed,AwayPlayed
Atalanta,1.88,1.44,1.12,1.55,15,13
Bologna,1.63,1.21,1.05,1.31,14,14
Cagliari,1.07,1.09,1.39,1.67,14,14
Como,1.78,1.36,0.91,1.24,14,14
Cremonese,1.15,0.96,1.66,2.02,13,15
Fiorentina,1.68,1.14,1.19,1.64,14,14
Genoa,1.33,1.22,1.22,1.78,15,13
Hellas Verona,1.26,1.17,1.41,1.53,13,15
Inter,2.17,1.92,1.03,0.87,14,14
Juventus,2.18,1.64,1.04,1.20,14,14
Lazio,1.43,1.09,1.32,1.58,14,14
Lecce,1.17,0.98,1.31,1.67,15,13
Milan,1.77,1.28,1.06,1.48,14,14
Napoli,1.62,1.40,1.13,1.16,13,15
Parma,1.34,1.10,1.50,1.67,14,14
Pisa,1.16,1.04,1.40,1.93,14,14
Roma,1.79,1.37,0.97,1.27,14,14
Sassuolo,1.19,1.20,1.64,1.64,14,14
Torino,1.38,1.21,1.46,1.61,14,14
Udinese,1.37,1.12,1.16,1.60,14,14
