Team,HomeXGF,AwayXGF,HomeXGA,AwayXGA,HomePlayed,AwayPlayed
Milan,1.84,1.23,1.03,1.53,11,12
Pisa,1.21,1.06,1.48,1.90,12,12
Fiorentina,1.72,1.18,1.26,1.66,12,12
Roma,1.78,1.44,0.98,1.24,12,12
Atalanta,1.88,1.29,1.13,1.58,13,11
Bologna,1.65,1.19,0.99,1.39,12,12
Cagliari,1.09,1.07,1.45,1.67,11,13
Como,1.80,1.45,0.94,1.28,12,11
Inter,2.16,1.90,1.00,0.91,12,12
Genoa,1.31,1.19,1.27,1.74,13,11
Verona,1.29,1.21,1.42,1.45,12,12
Juventus,2.22,1.66,1.05,1.06,12,12
Parma,1.19,1.14,1.60,1.62,12,12
Lazio,1.39,1.07,1.35,1.64,12,12
Napoli,1.60,1.42,1.17,1.14,11,13
Torino,1.42,1.27,1.45,1.58,12,12
Cremonese,1.03,0.98,1.58,2.08,11,13
Lecce,1.24,0.97,1.20,1.74,13,11
Sassuolo,1.23,1.23,1.56,1.70,12,12
Udinese,1.41,1.14,1.18,1.58,12,12
